name,album,artist,id,release_date,pop,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,Genre
1999,1999,Prince,2H7PHVdQ3mXqEHXcvclTB0,27/10/1982,68,379266,0.866,0.137,0.73,0,0.0843,0.625,-8.201,0.0767,118.523,5,4,Happy,funk
23,23,Blonde Redhead,4HIwL9ii9CcXpTOTzMq0MP,16/04/2007,43,318800,0.381,0.0189,0.832,0.196,0.153,0.166,-5.069,0.0492,120.255,8,4,Sad,pop
9 Crimes,9,Damien Rice,5GZEeowhvSieFDiR8fQ2im,6/11/2006,60,217946,0.346,0.913,0.139,7.73E-05,0.0934,0.116,-15.326,0.0321,136.168,0,4,Sad,rock
99 Luftballons,99 Luftballons,Nena,6HA97v4wEGQ5TUClRM0XLc,21/08/1984,2,233000,0.466,0.089,0.438,5.62E-06,0.113,0.587,-12.858,0.0608,193.1,4,4,Happy,pop
A Boy Brushed Red Living In Black And White,They're Only Chasing Safety,Underoath,47IWLfIKOKhFnz1FUEUIkE,1/01/2004,60,268000,0.419,0.00171,0.932,0,0.137,0.445,-3.604,0.106,169.881,1,4,Energetic,metal
A Little Less Conversation - JXL Radio Edit Remix,rock,Elvis Presley,4l2hnfUx0esSbITQa7iJt0,28/12/2009,1,211173,0.586,0.000155,0.935,0.277,0.159,0.58,-9.386,0.0482,114.997,4,4,Happy,rock
A Place for My Head,Hybrid Theory (Bonus Edition),Linkin Park,5rAxhWcgFng3s570sGO2F8,24/10/2000,68,184640,0.603,0.0144,0.908,0,0.671,0.457,-5.254,0.184,133.063,11,4,Energetic,metal
ATTACK,A Beautiful Lie + 30 Seconds To Mars,Thirty Seconds To Mars,6QxTWEvzcJljVZaeTzuHF1,15/05/2007,0,189200,0.331,0.00344,0.876,0.000835,0.732,0.299,-1.894,0.0603,175.009,5,4,Energetic,rock
Adagio For Strings,Adagio For Strings,Lucas & Steve,1RvDsjCBDTES3lPiEGNNMY,9/11/2018,55,197189,0.349,0.000877,0.793,0.431,0.22,0.0398,-6.748,0.0677,127.139,10,4,Energetic,edm
Afraid of Heights,Afraid of Heights,Billy Talent,0P44AUPRzaIAHNWquN0fGR,29/07/2016,38,225680,0.543,0.000168,0.991,1.31E-05,0.374,0.766,-2.78,0.0668,150.031,9,4,Energetic,punk
Africa,Toto IV,TOTO,2374M0fQpWi3dLnB54qaLX,8/04/1982,84,295893,0.671,0.257,0.373,7.95E-05,0.0481,0.732,-18.064,0.0323,92.717,9,4,Happy,rock
After The Rain,After The Rain,Comet Blue,2XBc2jWnvPqNO2LebVtLaY,3/08/2020,24,116625,0.456,0.993,0.0337,0.948,0.126,0.3,-26.87,0.0334,97.199,0,4,Calm,edm
Afterlife,Avenged Sevenfold,Avenged Sevenfold,4QdwsME04RG25KPHcPYoox,30/10/2007,13,351560,0.492,0.000444,0.95,6.22E-05,0.22,0.391,-4.195,0.076,110.027,2,4,Energetic,metal
Algo Rhythm,Temporär Musik 1-13,One Sentence. Supervisor,0PqJ7LSknltqqMNqPDClNA,28/10/2016,0,210626,0.402,1.19E-05,0.75,0.959,0.122,0.58,-7.358,0.0293,149.941,2,4,Sad,rock
Alison,Souvlaki,Slowdive,55CenVQ4alvDJ1PS8aYB0m,1993,0,231893,0.279,0.00957,0.423,0.837,0.128,0.291,-12.06,0.038,101.571,4,4,Sad,rock
Alive,Alive,Paris Blohm,2rPJcL8gQauA2nBdRyNZZL,16/11/2018,51,180468,0.494,0.00248,0.847,0,0.0502,0.148,-3.996,0.0537,129.909,0,4,Energetic,edm
All I Want,The Kodaline EP,Kodaline,1XczdQt6RKNkEQfPqUsi3q,7/09/2012,29,306600,0.189,0.113,0.427,0.0923,0.058,0.158,-9.08,0.0449,187.212,0,3,Sad,pop
All Mirrors,All Mirrors,Angel Olsen,4ZQdynvfiayhdoq5lcuCQ1,31/07/2019,1,282026,0.429,0.00299,0.689,0.00193,0.152,0.23,-7.38,0.0379,105.04,7,4,Sad,rock
All These Things I Hate (Revolve Around Me),The Poison,Bullet For My Valentine,6hZkQjIQBY7HAj4nzLUvdx,1/09/2005,39,225440,0.488,0.0303,0.879,0,0.288,0.483,-3.505,0.0514,94.003,6,3,Energetic,metal
All in the Suit That You Wear,Thank You,Stone Temple Pilots,17Nk1aji6gd26vabky7fMi,10/11/2003,39,219573,0.429,1.94E-05,0.982,0.0185,0.312,0.583,-2.962,0.0617,122.881,2,4,Energetic,metal
All of Me,Love In The Future (Expanded Edition),John Legend,3U4isOIWM3VvDubwSI3y7a,30/08/2013,85,269560,0.422,0.922,0.264,0,0.132,0.331,-7.064,0.0322,119.93,8,4,Sad,soul
All or Nothing (feat. Axel Ehnström) - Deluxe Mix,Less is More (Deluxe),Lost Frequencies,15bAMg00o4VdWmQrlkbfG3,14/07/2017,22,170458,0.737,0.226,0.816,0.453,0.621,0.533,-9.22,0.0411,124.014,4,4,Happy,edm
Always,Back Into Your System,Saliva,7kpa6MWRrPaF3b6C0DgioK,12/11/2002,63,231200,0.363,0.0122,0.906,0,0.172,0.371,-4.415,0.0615,181.964,1,4,Energetic,metal
Anchor,Anchor,Novo Amor,6x6XKEUcCJGUACD4Xh7KuP,23/10/2015,0,256282,0.486,0.755,0.356,0.861,0.0986,0.111,-13.649,0.0318,117.141,9,4,Sad,folk
Andromeda,Andromeda,Weyes Blood,0L6lVIgGqVHnmR3BIy8GHa,17/01/2019,36,280186,0.463,0.367,0.462,0.0012,0.356,0.189,-7.94,0.0272,131.273,1,4,Sad,pop
Angel's Song,Angel's Song,Arlo Parks,5hXTMmVXz1Ablgu34BkTz1,20/11/2019,58,197243,0.693,0.894,0.195,0.0325,0.126,0.315,-15.278,0.0446,116.725,11,4,Sad,pop
Angry Chair,The Essential Alice In Chains,Alice In Chains,6H0wgcQCOuLYqDuNhMW8KL,24/07/2006,22,288400,0.313,0.0642,0.973,1.22E-06,0.0581,0.118,-3.855,0.109,107.3,8,4,Energetic,metal
Anthem,Anthem,EDX,1SSAvErVyid5OXzmtGZKkg,30/03/2018,44,158483,0.664,0.00152,0.86,0.894,0.197,0.249,-4.505,0.0345,121.991,7,4,Happy,edm
Anthem of Our Dying Day,Page Avenue (US Non-PA Version),Story Of The Year,4sPJgy0CksvmXp9jC0W4gv,16/09/2003,56,216026,0.388,0.0211,0.8,0,0.212,0.357,-6.33,0.0783,194.744,9,3,Energetic,pop
Are You Gonna Be My Girl,Get Born,Jet,305WCRhhS10XUcH6AEwZk6,15/09/2003,75,213800,0.613,0.00148,0.953,0.000582,0.152,0.537,-3.435,0.0855,105.046,2,4,Happy,rock
As I Sleep (feat. Charlee),As I Sleep (feat. Charlee),Tobtok,72qlZsoVPpyFxVjL6GUuYI,13/04/2018,55,193471,0.694,0.0195,0.824,0.0426,0.327,0.202,-6.306,0.161,123.014,8,4,Energetic,edm
Ashes to Ashes,Ashes to Ashes,Warpaint,2lJa0SY7vZpvJ7QDFanOuZ,5/10/2010,51,310226,0.696,0.186,0.871,0.0282,0.173,0.8,-6.482,0.0357,118.938,1,4,Sad,edm
Away From Me,Life On Display,Puddle Of Mudd,4wzaTdhmBgpch7IXu3CskA,1/01/2003,0,238466,0.396,0.00061,0.93,0,0.168,0.195,-2.939,0.1,154.777,8,4,Energetic,metal
Back Where I Belong (feat. Avicii),Back Where I Belong (feat. Avicii),Otto Knows,78W8wiUIlQ2SnWY9TVowKZ,3/06/2016,56,174202,0.497,0.0306,0.865,0.0679,0.443,0.595,-3.19,0.0644,125.96,0,4,Energetic,edm
Ballad of the Dying Man,Ballad of the Dying Man,Father John Misty,65w8nArxPq2EzOAhteymf0,1/02/2017,0,290736,0.399,0.848,0.443,0.000406,0.0899,0.265,-9.168,0.0272,139.643,5,4,Sad,pop
Bat Country,City of Evil,Avenged Sevenfold,6irNz2hSXvd2QJG0vXyBFR,6/06/2005,39,311813,0.541,0.000248,0.968,8.28E-06,0.423,0.505,-4.129,0.0396,125.04,0,4,Energetic,metal
Be My Mistake,A Brief Inquiry Into Online Relationships,The 1975,0AG2l0IboWNSwjUkMr2Aq7,30/11/2018,39,256688,0.572,0.835,0.155,0.000137,0.0906,0.0949,-14.405,0.0344,109.923,6,3,Sad,rock
Beautiful Life,Beautiful Life,Lost Frequencies,2s25Z079T5KRzfqEQRMQQ4,3/06/2016,31,161463,0.732,0.127,0.52,0.0347,0.139,0.339,-6.684,0.0376,119.979,2,4,Happy,edm
Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,2gMXnyrvIjhVBUZwvLZDMP,22/11/2019,85,215106,0.459,0.604,0.575,0,0.0885,0.183,-4.858,0.0573,111.881,3,4,Sad,pop
Bennie And The Jets - Remastered 2014,Goodbye Yellow Brick Road (40th Anniversary Celebration/ Super Deluxe Edition),Elton John,3iJxloILmOu2NIRZ0OGyui,5/10/1973,0,322548,0.666,0.251,0.668,5.77E-06,0.499,0.765,-7.961,0.0523,132.666,0,4,Happy,rock
Better Than Today,Better Than Today,Rhys Lewis,6MLHg35rlksBc5OBcdZvJi,4/01/2019,60,230353,0.387,0.736,0.234,0,0.084,0.408,-8.861,0.0373,78.65,0,4,Sad,pop
Billinghurst,Damon EP,Jeremy Olander,6B2jQL05apmJlDZtPIxD3R,21/04/2017,0,456585,0.769,0.0305,0.701,0.85,0.0929,0.168,-9.089,0.062,123.011,5,4,Energetic,edm
Bird,Writing of Blues and Yellows (Deluxe Version),Billie Marten,6DzvC1VHpyTFfLBbAYBa7W,23/09/2016,55,220640,0.235,0.988,0.187,0.00197,0.106,0.118,-12.754,0.0347,85.962,6,4,Sad,pop
Bison on the Plains,Bison on the Plains,Grandaddy,0e0hVla9NkILk2JWOwVCMW,19/11/2018,32,308800,0.476,0.285,0.522,0.0127,0.193,0.0973,-8.159,0.0281,133.874,9,4,Sad,rock
Black Car,Black Car,edm,7ESnexsnylx85YfT6ZiSun,2/05/2018,0,251160,0.407,0.344,0.549,0.901,0.111,0.32,-10.244,0.0293,77.473,9,4,Sad,pop
Blackout,Blackout,(Hed) P.E.,6yTnvHRhUuuaoxy4dHzLGo,2003,37,233266,0.548,0.00016,0.864,0.00262,0.0354,0.5,-6.258,0.0557,95.569,1,4,Energetic,metal
Bleed American,Bleed American,Jimmy Eat World,61XspFITuKmAlYdQacNCbF,17/07/2001,63,181493,0.438,0.00842,0.938,1.08E-06,0.806,0.584,-5.611,0.094,160.212,6,4,Energetic,metal
Bloodbuzz Ohio,Bloodbuzz Ohio,SOAK,2pfkaHd8arhESSxyJAou6g,25/11/2019,46,279967,0.441,0.715,0.268,1.49E-06,0.11,0.057,-8.173,0.0308,140.073,6,4,Sad,rock
Bloom,Bloom,Hilder Sky,5DP6ow4t5Mmfge0fMRhSJD,30/05/2019,52,121069,0.249,0.945,0.129,0.839,0.17,0.253,-18.167,0.0324,70.59,4,5,Calm,classical
Bloom Innocent,Bloom Innocent,Fink,7zNT9GE070fYjnhx6TFWnQ,4/09/2019,20,416353,0.519,0.931,0.236,0.133,0.127,0.283,-18.378,0.0362,80.008,2,4,Sad,folk
Blow,Blow,Yves V,4nX11Rjdh7AuM8Ezb73m1R,15/05/2017,0,165000,0.603,0.0186,0.902,0.683,0.105,0.135,-5.979,0.0494,127.973,5,4,Happy,edm
rock,rock,Bingo Players,3wcaYUOKVSEbmmGB43YGqf,16/11/2018,46,158212,0.627,0.00919,0.944,0.00311,0.444,0.551,-4.459,0.344,126.078,5,4,Happy,rock
Boiler,Chocolate Starfish And The Hot Dog Flavored Water (Explicit Version),Limp Bizkit,5UaOg4eymp98fxKyx6SHmB,1/01/2000,0,420266,0.443,0.00393,0.722,0.0155,0.0373,0.167,-6.326,0.0865,111.324,6,4,Energetic,metal
Bortom Träden,I Blomstertid,Erik Reno,4CFlaEtdgeu4mFmnUApAyl,7/06/2020,48,260564,0.446,0.801,0.0586,0.85,0.0876,0.111,-26.416,0.0416,124.019,8,4,Calm,pop
Bottom Of The Sea,Bottom Of The Sea,Isaac Elton,5OTdNMpl1EPr3tOLyyRIc3,11/07/2017,48,242213,0.775,0.00681,0.66,0.171,0.22,0.425,-7.929,0.0444,126.022,0,4,Happy,edm
Bottom of a Bottle,Shapeshifter,Smile Empty Soul,1XZrMIHtCVJPqK29Mzm44G,1/04/2016,61,221826,0.537,0.00236,0.847,1.16E-06,0.0844,0.459,-5.208,0.0383,106.055,6,4,Energetic,metal
Break Stuff,Significant Other (Explicit),Limp Bizkit,1rJ1xX2XBC8nesYapeO6Av,16/06/1999,0,166706,0.45,0.0108,0.877,0.000643,0.112,0.663,-6.676,0.156,108.501,8,4,Energetic,metal
Breathe Me,Colour The Small One,Sia,7jqzZyJJLrpkRFYGpkqSK6,1/01/2004,68,272800,0.552,0.0364,0.643,0.74,0.105,0.212,-7.36,0.0327,120.012,0,4,Sad,edm
Brimful of Asha - Norman Cook Remix,Why Try Harder - Greatest Hits,Fatboy Slim,5BegkNkGXa6TUobnxy5LFL,1/06/2006,0,238933,0.663,0.18,0.957,0,0.348,0.937,-2.823,0.0584,125.678,11,4,Happy,pop
Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,4Of7rzpRpV1mWRbhp5rAqG,17/05/2019,84,220492,0.736,0.946,0.308,0,0.186,0.361,-7.83,0.0677,111.202,4,4,Sad,pop
Butterfly,The Gift Of Game,Crazy Town,4BggEwLhGfrbrl7JBhC8EC,4/11/1999,71,216733,0.736,0.00132,0.811,0.000142,0.107,0.609,-4.17,0.081,103.502,9,4,Happy,metal
California Dreamin',If You Can Believe Your Eyes And Ears,The Mamas & The Papas,63rva3TBizr6x1Yp5uwKfD,1966-03,50,157960,0.554,0.628,0.667,0,0.0486,0.597,-10.226,0.0342,112.749,1,4,Happy,rock
Chariot,B-Sides and Rarities,edm,6dB3Uad2TOaJcGKpM3zizO,30/06/2017,42,316507,0.374,0.663,0.426,0.607,0.0886,0.0902,-7.395,0.0315,102.174,10,4,Sad,pop
Chocolate,The 1975,The 1975,4WiiRw2PHMNQE0ad6y6GdD,1/01/2013,66,224673,0.614,0.000532,0.938,0,0.368,0.607,-4.461,0.0611,100.058,11,4,Happy,rock
Chop Suey!,Toxicity,System Of A Down,2DlHlPMa4M17kufBvI2lEN,4/09/2001,79,210240,0.419,0.000278,0.934,0.0015,0.132,0.286,-3.908,0.12,127.288,7,4,Energetic,metal
Clap Your Hands,Clap Your Hands,Sia,pop,9/04/2010,44,238466,0.699,0.000532,0.87,0.0219,0.359,0.778,-4.925,0.0546,120.033,0,4,Happy,edm
Cleansing,Cleansing,Jacco Wynia,6u1ymcw9MTK9mPGy8XdvEb,29/05/2020,36,304217,0.18,0.956,0.0754,0.926,0.11,0.0366,-26.645,0.0346,71.675,9,4,Calm,classical
Click Click Boom,Every Six Seconds,Saliva,1LMVGL3030W3mGmRrd2hCm,1/01/2001,0,252400,0.607,0.00259,0.935,0.000221,0.195,0.51,-2.918,0.0506,95.97,6,4,Energetic,metal
Cold Arms,Wilder Mind,Mumford & Sons,7kpZ9isu48poYKpaAb0wiR,1/05/2015,0,169906,0.431,0.815,0.144,1.10E-06,0.124,0.0491,-12.07,0.039,137.683,11,4,Sad,rock
