name,artist,year,bpm,energy,dance,dB,liveness,valence,duration,acousticness,speechiness ,pop,genre,mood
Flowers,Miley Cyrus,2023,118,68,71,-4,3,65,200,6,7,98,pop,Happy
Cupid - Twin Ver.,FIFTY FIFTY,2023,120,59,78,-8,35,73,174,44,3,97,k pop girl group,Happy
BESO,ROSALï¿½,2023,95,64,77,-7,17,53,195,74,14,96,"pop, r&b en espanol",Happy
Anti-Hero,Taylor Swift,2022,97,64,64,-7,14,53,201,13,5,94,pop,Happy
Here With Me,d4vd,2022,132,47,57,-8,13,29,242,53,3,94,"bedroom pop, bedroom r&b",Sad
Kill Bill,SZA,2022,89,74,64,-6,16,42,154,5,4,94,"pop, r&b, rap",Angry
Die For You - Remix,The Weeknd,2023,67,53,53,-6,44,50,233,23,7,93,"canadian contemporary r&b, canadian pop, pop",Happy
I Ain't Worried,OneRepublic,2022,140,80,70,-6,5,83,148,8,5,93,"piano rock, pop",Happy
pop,The Weeknd,2016,186,59,68,-7,14,49,230,14,28,93,"canadian contemporary r&b, canadian pop, pop",Angry
Another Love,Tom Odell,2013,123,54,45,-9,9,13,244,70,4,92,chill pop,Angry
As It Was,Harry Styles,2022,174,73,52,-5,31,66,167,34,6,92,pop,Happy
Blinding Lights,The Weeknd,2020,171,73,51,-6,9,33,200,0,6,92,"canadian contemporary r&b, canadian pop, pop",Angry
Mockingbird,Eminem,2004,84,68,64,-4,16,25,251,21,27,92,"detroit hip hop, hip hop, rap",Angry
Cruel Summer,Taylor Swift,2019,170,70,55,-6,11,56,178,12,16,91,pop,Happy
Escapism.,RAYE,2022,96,74,54,-5,9,25,272,14,11,91,"uk contemporary r&b, uk pop",Angry
Search & Rescue,Drake,2023,142,44,82,-8,33,54,272,6,7,91,"canadian hip hop, canadian pop, hip hop, pop rap, rap",Calm
Sure Thing,Miguel,2010,81,61,68,-8,19,50,195,3,10,91,r&b,Happy
Sweater Weather,The Neighbourhood,2013,124,81,61,-3,10,40,240,5,3,91,"modern alternative rock, modern rock, pop, pov: indie",Angry
Unholy (feat. Kim Petras),Sam Smith,2022,131,47,71,-7,27,24,157,1,9,91,"pop, uk pop",Sad
pop,Taylor Swift,2019,96,47,72,-10,13,40,221,71,4,90,pop,Sad
Dandelions,Ruth B.,2017,117,69,61,-3,9,45,234,2,3,90,"alt z, canadian contemporary r&b, canadian pop, pop",Angry
Ditto,NewJeans,2022,134,64,81,-6,10,18,186,3,11,90,"k pop, k pop girl group",Angry
golden hour,JVKE,2022,94,59,52,-5,25,15,209,65,3,90,"modern indie pop, pov: indie, singer songwriter pop",Angry
Heat Waves,Glass Animals,2020,81,53,76,-7,9,53,239,44,9,90,"gauze pop, indietronica, modern rock, pov: indie, shiver pop",Happy
La Bachata,Manuel Turizo,2022,125,68,84,-5,22,85,163,58,4,90,"colombian pop, reggaeton, reggaeton colombiano, trap latino, urbano latino",Happy
lovely (with Khalid),Billie Eilish,2018,115,30,35,-10,10,12,200,93,3,90,"art pop, pop",Sad
Made You Look,Meghan Trainor,2022,145,53,84,-4,8,88,134,35,7,90,"hip pop, pop",Happy
Nonsense,Sabrina Carpenter,2022,139,70,74,-5,22,73,164,3,3,90,pop,Happy
Perfect,Ed Sheeran,2017,95,45,60,-6,11,17,263,16,2,90,"pop, singer songwriter pop, uk pop",Sad
